grade,GPA,lecture,nclicks
2.3951389397135583,1.1341088286410548,6,88
3.665159057908528,0.9708817461609689,6,96
2.8527500825440177,3.3432349544342417,6,123
1.3597001247426468,2.7595762513321898,9,99
2.313335122475859,1.0222221543245085,4,66
2.582858820220246,0.8413324176032988,8,99
2.69462804207463,4,5,86
3.054909534429804,2.2949328022531787,7,118
3.2104520620764205,3.3874843687278715,9,98
2.2441902217604217,3.266634478368877,10,115
3.1338539895987028,2.2291874818663544,6,114
2.2259639176090884,1.7315937231232457,5,84
0,0.472894136811143,3,95
3.62788254244262,1.5600287002146884,10,123
1.340564609453703,2.7518845039267985,9,115
2.0876289032070785,2.001005211644062,5,101
0.4346967930405605,2.1971686863664095,5,84
2.262422265294159,2.7121565237594463,7,90
0.723260864966061,2.890436163092832,5,83
3.353209504267703,1.8096566990232852,8,102
3.8653283631351565,3.5056228638464093,8,121
2.783484748592574,1.9056690893638553,2,85
3.7018629333789397,2.481801354287702,10,87
2.4481795981763934,2.4502652751394796,7,81
2.7484218134751237,3.7482459239893986,8,110
1.5854671461890795,2.970966156654415,9,100
2.4482854155032414,2.9100298538281013,10,129
1.7412862435496845,0.9462394068937001,6,90
2.9308757335223476,2.3993737872337526,5,96
2.8210166247882587,2.457595409744748,8,129
2.5831639905322117,3.0110583670963167,8,118
0.9659023429530633,1.746698568117505,7,94
2.5080683339277607,3.1387667167258226,6,113
3.8499634487885803,3.35488805413489,9,122
0.8822342932054184,1.5336613041612603,10,84
3.90243026807647,1.727775118961864,7,82
3.4712202265600878,1.7162994849872333,4,83
2.5115665864599648,2.6390592909866415,6,112
3.5146987827132428,3.329487479500499,7,89
2.8290397469197144,2.6533664195610296,9,100
2.7471314947423484,2.856260650984993,4,84
2.744995551555769,2.956873649939353,10,102
3.0977301014084624,0.3793328316786009,4,111
2.978320589733358,2.4891590942650184,6,96
2.512585917045973,2.535062496803619,9,103
2.894494546555893,4,9,77
1.8156094332553965,2.200174450043686,5,96
3.001164274461527,2.802160429106303,8,112
3.852821700980154,2.8347728784345816,10,76
2.0496312528379654,1.1178988871959747,6,81
2.030062607071457,1.027026640533237,3,99
2.628110785992371,1.8298851161516914,7,106
3.872675147525004,2.7044881137569594,7,97
3.5678279915047884,1.6363599922343124,6,85
3.723507894443079,1.6461524596995891,6,88
2.504512142196334,1.9153413350746116,8,92
1.2359004117214918,3.449762210463316,9,122
2.994627067707815,2.9535615350333844,7,110
2.394412543721107,3.753703697580133,6,106
1.4451097805509896,0.9303599407516536,6,83
2.4376733456904276,3.115223663519635,9,95
2.1284142971326947,2.303975077643968,7,119
2.8615196604985123,1.7626460589217223,6,99
2.6672036675922852,1.5447170902142977,4,54
1.9934927024610685,1.3665324385114284,5,116
2.75965774086623,2.2032136435108445,7,61
3.698427305334623,1.1520123441170997,7,103
0.9500709825449758,2.125037804294975,8,96
2.5592971448990474,3.7351341953531927,9,80
3.2861874639915922,3.4664206428655517,10,115
2.122274116361734,3.3947098321621905,8,106
2.540024136575496,1.8211989140415674,7,84
4,2.4929631941691603,10,127
1.4398139450742828,2.686284979794765,3,109
2.4110543133682407,1.4900472020807252,3,92
0,0.4014775813025153,3,67
2.5738293105770937,2.9524421477603315,6,105
3.114205717791678,1.8539501374331386,3,79
2.1363495051057497,2.62265707466026,10,106
2.681764077156921,2.207387994979185,8,110
3.334928777239919,1.7543493574922342,9,105
1.6988011518987887,2.124653066917575,4,101
1.55261628453197,1.5286636495034172,10,109
2.8019608215968734,2.802735231608061,7,102
3.370767578179471,1.6986526049474313,7,105
2.2348458809053873,1.4769582417418463,7,80
3.660145732234987,4,8,109
2.7328271037350107,3.08171574384217,10,94
2.2687056205932774,3.147049503851921,6,106
3.993337700937309,2.22727811157176,7,105
2.95145528600398,2.808266607824217,8,88
3.7680715317582028,3.878331669797146,7,120
3.2473375995293434,2.0760349117469477,5,67
1.768279993929107,3.329532502168808,6,84
2.8944518256953775,4,9,102
4,4,9,84
2.773393467746802,3.5680158730704017,7,107
1.6120127582470951,2.320036226409505,8,94
3.539735645988242,2.860776517869015,7,108
3.52756872443962,2.8646434102782115,10,109
